Symbol,Name,Description,Sector,Industry,Industry_2,Optionable,Country,URL
AAGIY,AIA,Life insurance,Finance,INS-LIFE,INSURANCE,N,HONG KONG,https://finviz.com/quote.ashx?t=AAGIY
AAGR,African Agriculture Holdings Inc.,Agricultural production - crops,Consumer Staples,AGRI OPERATIONS,FOOD,N,UNITED STATES,https://finviz.com/quote.ashx?t=AAGR
AAIIQ,Alabama Aircraft Industries,Aircraft,Aerospace,AEROSP/DEF EQ,AEROSPACE/DEFENSE,N,UNITED STATES,https://finviz.com/quote.ashx?t=AAIIQ
AAL,American Airlines,"Air transportation, scheduled",Transportation,TRANS-AIRLINE,TRANSPORT-AIR,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AAL
AAMCF,Altisource Asset Management,Real estate,Finance,FIN-INVEST MGMT,INVEST BKRS/MGMT,N,UNITED STATES,https://finviz.com/quote.ashx?t=AAMCF
AAME,Atlantic American,Life insurance,Finance,INS-ACC & HLTH,INSURANCE,N,UNITED STATES,https://finviz.com/quote.ashx?t=AAME
AAMI,Acadian Asset Management Inc.,Investment advice,Finance,FIN-MISC SVCS,FINANCE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AAMI
AAOI,Applied Optoelectronics,Semiconductors & related devices,Computer and Technology,ELEC COMP-SEMIC,ELECTRON-SEMI,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AAOI
AAON,AAON,Refrigeration & heating equipment,Construction,BLDG PRD-AIR/HT,BUILDING PRODS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AAON
AAP,Advance Auto Parts,Auto & home supply stores,Retail/Wholesale,RET/WHL-AUTO PT,NONFOOD RETAIL/WH,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AAP
AAPG,Ascentage Pharma Group International - Unsponsored ADR,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,N,CHINA,https://finviz.com/quote.ashx?t=AAPG
AAPJ,AAP,Telephone & telegraph apparatus,Computer and Technology,Communications Components,TELECOMM EQUIP,N,,https://finviz.com/quote.ashx?t=AAPJ
AAPL,Apple,Electronic computers,Computer and Technology,COMP-MICRO,COMPUTER/OFFICE EQUIP,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AAPL
AARD,"Aardvark Therapeutics, Inc.",Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,N,UNITED STATES,https://finviz.com/quote.ashx?t=AARD
AASP,Agassi Sports Entertainment Corp.,Miscellaneous retail,Unclassified,UNCLASSIFIED,UNCLASSIFIED,N,UNITED STATES,https://finviz.com/quote.ashx?t=AASP
AAT,American Assets Trust,Real estate investment trusts,Finance,REIT-EQTY TRUST - RETAIL,REAL ESTATE,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AAT
AATC,Autoscope Technologies,"Measuring & controlling devices, not elsewhere classified",Business Services,Technology Services,BUSINESS SERVICES,N,UNITED STATES,https://finviz.com/quote.ashx?t=AATC
AAUAF,Almaden Minerals,Metal mining,Basic Materials,MINING -GOLD,METALS-NON FERR,N,CANADA,https://finviz.com/quote.ashx?t=AAUAF
AAUC,Allied Gold Corporation,Private households,Basic Materials,MINING -GOLD,METALS-NON FERR,N,CANADA,https://finviz.com/quote.ashx?t=AAUC
AAVVF,Advantage Oil & Gas,Crude petroleum & natural gas,Oils/Energy,Other Alt Energy,ENERGY-ALT SRCS,N,CANADA,https://finviz.com/quote.ashx?t=AAVVF
AAWH,"Ascend Wellness Holdings, Inc.",Medicinals & botanicals,Medical,Medical Services,MEDICAL CARE,N,UNITED STATES,https://finviz.com/quote.ashx?t=AAWH
AAXT,AAMAXAN TRNSPRT,,,,,,,https://finviz.com/quote.ashx?t=AAXT
AB,AllianceBernstein,Investment advice,Finance,FIN-INVEST MGMT,INVEST BKRS/MGMT,Y,UNITED STATES,https://finviz.com/quote.ashx?t=AB
ABAT,American Battery Technology Company,"Mining & quarrying of nonmetallic minerals, except fuels",Computer and Technology,ELEC PRODS-MISC,ELECTRONICS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ABAT
ABBNY,ABB,Switchgear & switchboard apparatus,Industrial Products,MACH-ELECTRICAL,MACHINERY-ELEC,N,SWITZERLAND,https://finviz.com/quote.ashx?t=ABBNY
ABBV,AbbVie,Pharmaceutical preparations,Medical,Large Cap Pharma,DRUGS,Y,UNITED STATES,https://finviz.com/quote.ashx?t=ABBV
